"Time (s) Run #1","Voltage, Ch A (V) Run #1","Current, Ch D (A) Run #1","Charge (C) Run #1"
0.090,,,-3.80E-6
0.090,0.002,-5.815E-5,
0.090,,,-3.82E-6
0.090,0.002,-5.205E-5,
0.091,,,-3.84E-6
0.091,0.002,-2.275E-5,
0.091,,,-3.86E-6
0.091,7.349E-4,-3.862E-5,
0.092,,,-3.87E-6
0.092,0.001,-1.299E-5,
0.092,,,-3.89E-6
0.093,8.569E-4,-7.158E-5,
0.093,,,-3.92E-6
0.093,0.001,-3.252E-5,
0.093,,,-3.94E-6
0.094,0.001,-4.595E-5,
0.094,,,-3.95E-6
0.094,0.003,-2.275E-5,
0.094,,,-3.97E-6
0.095,0.002,-5.938E-5,
0.095,,,-4.00E-6
0.095,0.001,-4.717E-5,
0.095,,,-4.02E-6
0.095,0.002,-3.496E-5,
0.096,,,-4.05E-6
0.096,0.001,-7.158E-5,
0.096,,,-4.08E-6
0.097,0.002,-6.548E-5,
0.097,,,-4.11E-6
0.097,0.002,-5.327E-5,
0.097,,,-4.14E-6
0.098,0.002,-5.693E-5,
0.098,,,-4.17E-6
0.098,0.002,-4.229E-5,
0.098,,,-4.19E-6
0.099,0.002,-6.304E-5,
0.099,,,-4.22E-6
0.099,9.790E-4,-4.839E-5,
0.099,,,-4.25E-6
0.100,0.002,-6.426E-5,
0.100,,,-4.27E-6
0.100,0.002,-3.618E-5,
0.100,,,-4.29E-6
0.101,0.002,-3.862E-5,
0.101,,,-4.31E-6
0.101,0.002,-2.520E-5,
0.101,,,-4.32E-6
0.102,0.002,-2.397E-5,
0.102,,,-4.33E-6
0.102,0.001,-2.031E-5,
0.102,,,-4.34E-6
0.103,0.002,-1.665E-5,
0.103,,,-4.36E-6
0.103,0.002,-7.280E-5,
0.103,,,-4.41E-6
0.104,0.002,-1.082E-4,
0.104,,,-4.45E-6
0.104,0.001,-4.595E-5,
0.104,,,-4.46E-6
0.105,0.001,-4.443E-6,
0.105,,,-4.47E-6
0.105,0.002,-5.693E-5,
0.105,,,-4.50E-6
0.106,7.349E-4,-3.740E-5,
0.106,,,-4.52E-6
0.106,0.002,-4.229E-5,
0.106,,,-4.54E-6
0.107,0.001,-3.130E-5,
0.107,,,-4.56E-6
0.107,0.002,-6.548E-5,
0.107,,,-4.59E-6
0.108,0.002,-5.327E-5,
0.108,,,-4.62E-6
0.108,0.002,-5.693E-5,
0.108,,,-4.64E-6
0.109,0.002,-2.764E-5,
0.109,,,-4.65E-6
0.109,0.003,-2.642E-5,
0.109,,,-4.67E-6
0.110,0.003,-4.229E-5,
0.110,,,-4.68E-6
0.110,0.003,-5.664E-6,
0.110,,,-4.69E-6
0.111,0.002,-4.106E-5,
0.111,,,-4.73E-6
0.111,0.001,-9.600E-5,
0.111,,,-4.76E-6
0.112,0.002,-4.351E-5,
0.112,,,-4.79E-6
0.112,0.002,-8.623E-5,
0.112,,,-4.82E-6
0.113,0.002,-3.130E-5,
0.113,,,-4.84E-6
0.113,0.002,-2.642E-5,
0.113,,,-4.87E-6
0.114,8.569E-4,-9.478E-5,
0.114,,,-4.90E-6
0.114,0.001,-4.229E-5,
0.114,,,-4.92E-6
0.115,0.002,-1.543E-5,
0.115,,,-4.93E-6
0.115,0.002,-3.252E-5,
0.115,,,-4.95E-6
0.116,0.001,-6.792E-5,
0.116,,,-4.99E-6
0.116,0.001,-7.036E-5,
0.116,,,-5.02E-6
0.117,8.569E-4,-5.327E-5,
0.117,,,-5.04E-6
0.117,9.790E-4,-3.618E-5,
0.117,,,-5.05E-6
0.118,0.002,-1.421E-5,
0.118,,,-5.06E-6
0.118,0.002,-7.813E-7,
0.118,,,-5.08E-6
0.119,0.002,-7.280E-5,
0.119,,,-5.10E-6
0.119,0.002,-3.618E-5,
0.119,,,-5.12E-6
0.120,0.003,-4.473E-5,
0.120,,,-5.15E-6
0.120,0.001,-3.984E-5,
0.120,,,-5.16E-6
0.120,0.001,-2.642E-5,
0.121,,,-5.18E-6
0.121,9.790E-4,-3.130E-5,
0.121,,,-5.19E-6
0.121,0.001,-4.229E-5,
0.122,,,-5.21E-6
0.122,0.002,-3.374E-5,
0.122,,,-5.24E-6
0.122,0.002,-8.867E-5,
0.123,,,-5.29E-6
0.123,0.001,-8.379E-5,
0.123,,,-5.32E-6
0.123,0.003,-6.548E-5,
0.124,,,-5.36E-6
0.124,0.002,-6.548E-5,
0.124,,,-5.39E-6
0.125,0.003,-5.571E-5,
0.125,,,-5.42E-6
0.125,0.001,-8.135E-5,
0.125,,,-5.46E-6
0.126,0.003,-6.426E-5,
0.126,,,-5.48E-6
0.126,9.790E-4,-3.496E-5,
0.126,,,-5.50E-6
0.127,0.002,-2.397E-5,
0.127,,,-5.52E-6
0.127,0.002,-6.060E-5,
0.127,,,-5.55E-6
0.128,0.001,-6.670E-5,
0.128,,,-5.57E-6
0.128,0.001,-2.002E-6,
0.128,,,-5.59E-6
0.129,0.001,-7.646E-5,
0.129,,,-5.62E-6
0.129,0.002,-4.717E-5,
0.129,,,-5.64E-6
0.130,0.002,-3.862E-5,
0.130,,,-5.67E-6
0.130,0.002,-7.036E-5,
0.130,,,-5.69E-6
0.131,0.002,-3.618E-5,
0.131,,,-5.71E-6
0.131,0.001,-3.984E-5,
0.131,,,-5.74E-6
0.132,0.002,-5.571E-5,
0.132,,,-5.76E-6
0.132,0.002,-3.618E-5,
0.132,,,-5.78E-6
0.133,0.001,-4.595E-5,
0.133,,,-5.79E-6
0.133,0.002,-5.664E-6,
0.133,,,-5.81E-6
0.134,0.001,-5.571E-5,
0.134,,,-5.83E-6
0.134,0.002,-3.618E-5,
0.134,,,-5.85E-6
0.135,0.002,-5.693E-5,
0.135,,,-5.89E-6
0.135,0.002,-7.158E-5,
0.135,,,-5.91E-6
0.136,0.001,-3.740E-5,
0.136,,,-5.93E-6
0.136,0.003,-4.106E-5,
0.136,,,-5.97E-6
0.137,0.001,-8.501E-5,
0.137,,,-6.00E-6
0.137,0.002,-3.984E-5,
0.137,,,-6.02E-6
0.138,8.569E-4,-3.740E-5,
0.138,,,-6.04E-6
0.138,0.001,-4.839E-5,
0.138,,,-6.06E-6
0.139,0.002,-2.886E-5,
0.139,,,-6.08E-6
0.139,6.128E-4,-5.693E-5,
0.139,,,-6.10E-6
0.140,0.001,-2.642E-5,
0.140,,,-6.11E-6
0.140,9.790E-4,-1.787E-5,
0.140,,,-6.13E-6
0.141,0.002,-5.693E-5,
