"Time (s) Run #1","Voltage, Ch A (V) Run #1","Current, Ch D (A) Run #1","Charge (C) Run #1"
0.080,,,-8.00E-6
0.080,0.008,-1.290E-4,
0.081,,,-8.06E-6
0.081,0.008,-9.478E-5,
0.081,,,-8.11E-6
0.082,0.009,-9.966E-5,
0.082,,,-8.16E-6
0.082,0.009,-1.265E-4,
0.082,,,-8.23E-6
0.083,0.009,-1.290E-4,
0.083,,,-8.29E-6
0.083,0.008,-1.058E-4,
0.083,,,-8.33E-6
0.084,0.009,-8.989E-5,
0.084,,,-8.38E-6
0.084,0.009,-9.355E-5,
0.084,,,-8.42E-6
0.085,0.008,-8.501E-5,
0.085,,,-8.47E-6
0.085,0.009,-8.257E-5,
0.085,,,-8.51E-6
0.086,0.008,-9.844E-5,
0.086,,,-8.55E-6
0.086,0.008,-4.717E-5,
0.086,,,-8.57E-6
0.087,0.009,-5.327E-5,
0.087,,,-8.60E-6
0.087,0.009,-6.304E-5,
0.087,,,-8.64E-6
0.088,0.009,-8.623E-5,
0.088,,,-8.69E-6
0.088,0.009,-1.094E-4,
0.088,,,-8.74E-6
0.089,0.009,-9.233E-5,
0.089,,,-8.79E-6
0.089,0.009,-9.600E-5,
0.089,,,-8.84E-6
0.090,0.009,-1.326E-4,
0.090,,,-8.90E-6
0.090,0.008,-1.094E-4,
0.090,,,-8.96E-6
0.090,0.008,-1.167E-4,
0.091,,,-9.00E-6
0.091,0.009,-4.595E-5,
0.091,,,-9.02E-6
0.091,0.009,-4.351E-5,
0.092,,,-9.05E-6
0.092,0.009,-7.280E-5,
0.092,,,-9.10E-6
0.093,0.008,-1.253E-4,
0.093,,,-9.14E-6
0.093,0.008,-3.618E-5,
0.093,,,-9.17E-6
0.094,0.007,-9.233E-5,
0.094,,,-9.23E-6
0.094,0.008,-1.192E-4,
0.094,,,-9.27E-6
0.095,0.007,-6.792E-5,
0.095,,,-9.31E-6
0.095,0.009,-6.304E-5,
0.095,,,-9.34E-6
0.095,0.009,-8.257E-5,
0.096,,,-9.40E-6
0.096,0.008,-1.473E-4,
0.096,,,-9.48E-6
0.097,0.008,-1.534E-4,
0.097,,,-9.54E-6
0.097,0.007,-1.009E-4,
0.097,,,-9.59E-6
0.098,0.007,-9.966E-5,
0.098,,,-9.64E-6
0.098,0.007,-1.058E-4,
0.098,,,-9.69E-6
0.099,0.008,-9.478E-5,
0.099,,,-9.73E-6
0.099,0.009,-6.060E-5,
0.099,,,-9.78E-6
0.100,0.008,-1.387E-4,
0.100,,,-9.83E-6
0.100,0.008,-7.891E-5,
0.100,,,-9.87E-6
0.101,0.009,-7.891E-5,
0.101,,,-9.92E-6
0.101,0.008,-1.021E-4,
0.101,,,-9.96E-6
0.102,0.008,-7.280E-5,
0.102,,,-1.00E-5
0.102,0.008,-6.792E-5,
0.102,,,-1.00E-5
0.103,0.009,-9.844E-5,
0.103,,,-1.01E-5
0.103,0.008,-9.355E-5,
0.103,,,-1.01E-5
0.104,0.008,-1.106E-4,
0.104,,,-1.02E-5
0.104,0.009,-8.867E-5,
0.104,,,-1.02E-5
0.105,0.008,-9.722E-5,
0.105,,,-1.03E-5
0.105,0.008,-1.412E-4,
0.105,,,-1.04E-5
0.106,0.008,-8.257E-5,
0.106,,,-1.04E-5
0.106,0.010,-7.280E-5,
0.106,,,-1.04E-5
0.107,0.008,-9.111E-5,
0.107,,,-1.05E-5
0.107,0.009,-9.844E-5,
0.107,,,-1.05E-5
0.108,0.009,-6.060E-5,
0.108,,,-1.06E-5
0.108,0.009,-9.722E-5,
0.108,,,-1.06E-5
0.109,0.009,-9.355E-5,
0.109,,,-1.07E-5
0.109,0.008,-1.094E-4,
0.109,,,-1.07E-5
0.110,0.009,-1.106E-4,
0.110,,,-1.08E-5
0.110,0.008,-1.265E-4,
0.110,,,-1.08E-5
0.111,0.008,-6.060E-5,
0.111,,,-1.08E-5
0.111,0.009,-7.158E-5,
0.111,,,-1.09E-5
0.112,0.008,-9.233E-5,
0.112,,,-1.09E-5
0.112,0.009,-5.815E-5,
0.112,,,-1.10E-5
0.113,0.009,-6.060E-5,
0.113,,,-1.10E-5
0.113,0.008,-1.448E-4,
0.113,,,-1.11E-5
0.114,0.009,-1.045E-4,
0.114,,,-1.11E-5
0.114,0.008,-9.844E-5,
0.114,,,-1.12E-5
0.115,0.008,-1.021E-4,
0.115,,,-1.12E-5
0.115,0.008,-8.867E-5,
0.115,,,-1.13E-5
0.116,0.007,-9.111E-5,
0.116,,,-1.13E-5
0.116,0.008,-8.379E-5,
0.116,,,-1.14E-5
0.117,0.007,-1.082E-4,
0.117,,,-1.14E-5
0.117,0.008,-1.326E-4,
0.117,,,-1.15E-5
0.118,0.008,-9.600E-5,
0.118,,,-1.15E-5
0.118,0.007,-9.722E-5,
0.118,,,-1.16E-5
0.119,0.007,-6.304E-5,
